"e-folds N","cal(P)_zeta k=7.34e+03","cal(P)_zeta k=8.05e+06","max u_ij k=7.34e+03","max u_ij k=8.05e+06","max u_ijk k_t=22026.5","max u_ijk k_t=2.4155e+07","H"
2.2680000000000000e+01,5.5755509612331773e-11,4.9816300809895039e-10,8.0592477750389691e+01,9.9796647626073010e+01,1.2448005680851366e+05,1.2447806015347943e+05,7.6484790027062285e-06
2.2736000000000001e+01,5.5755426468516701e-11,4.4518293223487092e-10,8.0123062745056316e+01,9.7350760192919864e+01,1.2292388692861480e+05,1.2292206907784088e+05,7.6355221126694836e-06
2.2791999999999998e+01,5.5755351937952583e-11,3.9809168626980369e-10,7.9641246398074657e+01,9.5096239020246770e+01,1.2134979298674178e+05,1.2134813810933712e+05,7.6225005652027574e-06
2.2847999999999999e+01,5.5755285127057607e-11,3.5623450053681851e-10,7.9146973268435218e+01,9.3011989072478670e+01,1.1975823144786194e+05,1.1975672509301295e+05,7.6094136096999500e-06
2.2904000000000000e+01,5.5755225234954669e-11,3.1902920722884184e-10,7.8640190667563033e+01,9.1079093387059004e+01,1.1814967423935331e+05,1.1814830321856268e+05,7.5962604818484243e-06
2.2959999999999997e+01,5.5755171543979685e-11,2.8595823848692441e-10,7.8120848789811433e+01,8.9280588024119027e+01,1.1652460886996667e+05,1.1652336114903743e+05,7.5830404032867505e-06
2.3015999999999998e+01,5.5755123411132028e-11,2.5656152156032598e-10,7.7588900848434264e+01,8.7601260356750657e+01,1.1488353854225029e+05,1.1488240314224534e+05,7.5697525812515635e-06
2.3071999999999999e+01,5.5755080260341604e-11,2.3043013910055260e-10,7.7044303216703923e+01,8.6027468280992622e+01,1.1322698225783060e+05,1.1322594916429411e+05,7.5563962082131533e-06
2.3128000000000000e+01,5.5755041575468838e-11,2.0720066338812125e-10,7.6487015574361791e+01,8.4546978176466808e+01,1.1155547491508254e+05,1.1155453499486242e+05,7.5429704614993148e-06
2.3183999999999997e+01,5.5755006893987217e-11,1.8655009689883950e-10,7.5917001061572890e+01,8.3148819675786797e+01,1.0986956739928207e+05,1.0986871232434202e+05,7.5294745029070187e-06
2.3239999999999998e+01,5.5754975801314511e-11,1.6819136660682525e-10,7.5334226436842300e+01,8.1823155496943002e+01,1.0816982666360175e+05,1.0816904884125765e+05,7.5159074783014181e-06
2.3295999999999999e+01,5.5754947925761608e-11,1.5186932598114077e-10,7.4738662243867680e+01,8.0561164782221439e+01,1.0645683580182215e+05,1.0645612831088022e+05,7.5022685172016855e-06
2.3352000000000000e+01,5.5754922934055513e-11,1.3735721511227070e-10,7.4130282983462465e+01,7.9354938540420449e+01,1.0473119411096686e+05,1.0473055064328172e+05,7.4885567323531568e-06
2.3407999999999998e+01,5.5754900527378492e-11,1.2445352264044500e-10,7.3509067293487377e+01,7.8197385941151154e+01,1.0299351714406224e+05,1.0299293195106972e+05,7.4747712192852408e-06
2.3463999999999999e+01,5.5754880437852290e-11,1.1297919366587884e-10,7.2874998135866434e+01,7.7082150336279000e+01,1.0124443675204065e+05,1.0124390459585530e+05,7.4609110558544877e-06
2.3520000000000000e+01,5.5754862425396077e-11,1.0277513817146291e-10,7.2228062991936596e+01,7.6003534002356631e+01,9.9484601114411227e+04,9.9484117223110399e+04,7.4469753017722527e-06
2.3576000000000001e+01,5.5754846274891990e-11,9.3700007474557286e-11,7.1568254065638030e+01,7.4956430700664953e+01,9.7714674757774526e+04,9.7714234784521075e+04,7.4329629981163015e-06
2.3631999999999998e+01,5.5754831793611489e-11,8.5628213994272313e-11,7.0895568495525467e+01,7.3936265246611072e+01,9.5935338561647295e+04,9.5934938547330428e+04,7.4188731668256730e-06
2.3687999999999999e+01,5.5754818808873500e-11,7.8448171315672693e-11,7.0210008575500368e+01,7.2938939363083961e+01,9.4147289750709679e+04,9.4146926089809203e+04,7.4047048101781402e-06
2.3744000000000000e+01,5.5754807165921914e-11,7.2060731510088767e-11,6.9511581985639054e+01,7.1960783169066005e+01,9.2351241872959799e+04,9.2350911282362722e+04,7.3904569102495304e-06
2.3800000000000001e+01,5.5754796726017985e-11,6.6377798087433058e-11,6.8800302032512761e+01,7.0998511720229445e+01,9.0547924762654642e+04,9.0547624253175076e+04,7.3761284283540943e-06
2.3855999999999998e+01,5.5754787364744230e-11,6.1321095230010539e-11,6.8076187899753805e+01,7.0049186080022253e+01,8.8738084487255808e+04,8.8737811337629420e+04,7.3617183044652003e-06
2.3911999999999999e+01,5.5754778970508136e-11,5.6821075489105541e-11,6.7339264910333554e+01,6.9110178454603201e+01,8.6922483277728519e+04,8.6922235010871227e+04,7.3472254566154175e-06
2.3968000000000000e+01,5.5754771443226523e-11,5.2815949111346924e-11,6.8396717545752566e+01,6.9986293717247477e+01,8.6769261793904356e+04,8.6769486043215278e+04,7.3326487802751682e-06
2.4024000000000001e+01,5.5754764693162230e-11,4.9250819933886426e-11,6.9981518678118832e+01,7.1408370402110535e+01,8.9391677569802865e+04,8.9391877899992483e+04,7.3179871477089879e-06
2.4079999999999998e+01,5.5754758639884719e-11,4.6076915589239719e-11,7.1590517722781570e+01,7.2871343537908061e+01,9.2065884583300096e+04,9.2066063523432415e+04,7.3032394073084057e-06
2.4135999999999999e+01,5.5754753211328205e-11,4.3250902365461135e-11,7.3223914038034920e+01,7.4373695345852099e+01,9.4792171587514007e+04,9.4792331401005504e+04,7.2884043829004269e-06
2.4192000000000000e+01,5.5754748342930201e-11,4.0734276416247273e-11,7.4881906889509096e+01,7.5914084848597383e+01,9.7570807139669414e+04,9.7570949852047910e+04,7.2734808730305206e-06
2.4248000000000001e+01,5.5754743976841741e-11,3.8492823385335680e-11,7.6564695396142113e+01,7.7491329564290922e+01,1.0040203871751144e+05,1.0040216614128641e+05,7.2584676502189769e-06
2.4303999999999998e+01,5.5754740061209818e-11,3.6496138858302511e-11,7.8272478474045641e+01,7.9104389084391585e+01,1.0328609181089593e+05,1.0328620556783980e+05,7.2433634601894270e-06
2.4359999999999999e+01,5.5754736549533312e-11,3.4717202786371816e-11,8.0005454778123678e+01,8.0752350340016122e+01,1.0622316898787455e+05,1.0622327052898366e+05,7.2281670210682465e-06
2.4416000000000000e+01,5.5754733400094312e-11,3.3132001810132974e-11,8.1763822639872629e+01,8.2434414380344663e+01,1.0921344893416228e+05,1.0921353955753804e+05,7.2128770225535266e-06
2.4472000000000001e+01,5.5754730575461143e-11,3.1719193943682094e-11,8.3547780004346066e+01,8.4149884509285997e+01,1.1225708546612610e+05,1.1225716633299251e+05,7.1974921250521758e-06
2.4527999999999999e+01,5.5754728042055113e-11,3.0459810535220731e-11,8.5357524362746318e+01,8.5898155636315678e+01,1.1535420651559379e+05,1.1535427866464460e+05,7.1820109587837081e-06
2.4584000000000000e+01,5.5754725769767662e-11,2.9336991084201720e-11,8.7193252683150178e+01,8.7678704717997192e+01,1.1850491308644766e+05,1.1850497744669692e+05,7.1664321228490971e-06
2.4640000000000001e+01,5.5754723731616250e-11,2.8335747299054154e-11,8.9055161337242737e+01,8.9491082175106172e+01,1.2170927818163439e+05,1.2170933558392573e+05,7.1507541842630808e-06
2.4696000000000002e+01,5.5754721903428693e-11,2.7442753405735839e-11,9.0943446024486590e+01,9.1334904185523101e+01,1.2496734570021059e+05,1.2496739688752466e+05,7.1349756769481549e-06
2.4751999999999999e+01,5.5754720263550638e-11,2.6646160026274561e-11,9.2858301692262714e+01,9.3209845760648705e+01,1.2827912930318552e+05,1.2827917493987083e+05,7.1190951006883936e-06
2.4808000000000000e+01,5.5754718792575975e-11,2.5935429097830604e-11,9.4799922453378642e+01,9.5115634525350302e+01,1.3164461124772197e+05,1.3164465192776083e+05,7.1031109200411798e-06
2.4864000000000001e+01,5.5754717473102032e-11,2.5301187488174015e-11,9.6768501498495780e+01,9.7052045126024737e+01,1.3506374118810258e+05,1.3506377744251266e+05,7.0870215632047427e-06
2.4920000000000002e+01,5.5754716289512843e-11,2.4735097191508465e-11,9.8764231006068073e+01,9.9018894203952399e+01,1.3853643494332038e+05,1.3853646724678206e+05,7.0708254208393457e-06
2.4975999999999999e+01,5.5754715227790880e-11,2.4229740177849423e-11,1.0078730204709554e+02,1.0101603587259562e+02,1.4206257322955941e+05,1.4206260200634931e+05,7.0545208448398067e-06
2.5032000000000000e+01,5.5754714275354663e-11,2.3778516125546104e-11,1.0283790448557966e+02,1.0304335764714386e+02,1.4564200035684975e+05,1.4564202598615290e+05,7.0381061470568825e-06
2.5088000000000001e+01,5.5754713420918333e-11,2.3375551470320177e-11,1.0491622687524264e+02,1.0510077677972187e+02,1.4927452288906457e+05,1.4927454570972995e+05,7.0215795979649639e-06
2.5144000000000002e+01,5.5754712654365781e-11,2.3015618470598068e-11,1.0702245635037764e+02,1.0718823695585624e+02,1.5295990826556797e+05,1.5295992858036558e+05,7.0049394252732975e-06
2.5199999999999999e+01,5.5754711966635109e-11,2.2694063234789893e-11,1.0915677851218717e+02,1.0930570531565718e+02,1.5669788338383939e+05,1.5669790146327048e+05,6.9881838124778346e-06
2.5256000000000000e+01,5.5754711349609986e-11,2.2406741807774237e-11,1.1131937730993506e+02,1.1145316976505747e+02,1.6048813314174610e+05,1.6048814922745389e+05,6.9713108973506129e-06
2.5312000000000001e+01,5.5754710796018140e-11,2.2149963485558674e-11,1.1351043491623420e+02,1.1363063654596081e+02,1.6433029893808524e+05,1.6433031324590713e+05,6.9543187703633777e-06
2.5368000000000002e+01,5.5754710299337399e-11,2.1920440576270918e-11,1.1573013159588012e+02,1.1583812803738799e+02,1.6822397712999390e+05,1.6822398985269308e+05,6.9372054730419867e-06
2.5423999999999999e+01,5.5754709853713464e-11,2.1715243877583129e-11,1.1797864556945771e+02,1.1807568076434973e+02,1.7216871744635139e+05,1.7216872875606126e+05,6.9199689962478448e-06
2.5480000000000000e+01,5.5754709453888212e-11,2.1531763188964133e-11,1.2025615286903360e+02,1.2034334358979156e+02,1.7616402135501706e+05,1.7616403140542845e+05,6.9026072783824668e-06
2.5536000000000001e+01,5.5754709095139670e-11,2.1367672228222207e-11,1.2256282718922287e+02,1.2264117607320166e+02,1.8020934038357539e+05,1.8020934931189351e+05,6.8851182035109477e-06
2.5592000000000002e+01,5.5754708773231000e-11,2.1220897398070669e-11,1.2489883972693958e+02,1.2496924697152703e+02,1.8430407439004851e+05,1.8430408231874378e+05,6.8674995993999154e-06
2.5648000000000000e+01,5.5754708484364182e-11,2.1089589950889529e-11,1.2726435901821341e+02,1.2732763287494154e+02,1.8844756978475596e+05,1.8844757682313022e+05,6.8497492354651590e-06
2.5704000000000001e+01,5.5754708225138069e-11,2.0972101197097521e-11,1.2965955076259712e+02,1.2971641695378634e+02,1.9263911769876364e+05,1.9263912394435122e+05,6.8318648206239241e-06
2.5760000000000002e+01,5.5754707992507151e-11,2.0866960464575565e-11,1.3208457764066722e+02,1.3213568780944769e+02,1.9687795209906047e+05,1.9687795763888129e+05,6.8138440010464146e-06
2.5816000000000003e+01,5.5754707783742552e-11,2.0772855542706708e-11,1.3453959912280595e+02,1.3458553841593766e+02,2.0116324784821502e+05,2.0116325275989540e+05,6.7956843578007950e-06
2.5872000000000000e+01,5.5754707596396186e-11,2.0688615352752161e-11,1.3702477126607252e+02,1.3706606513874166e+02,2.0549411870571933e+05,2.0549412305849427e+05,6.7773834043854932e-06
2.5928000000000001e+01,5.5754707428268702e-11,2.0613194590216650e-11,1.3954024650361899e+02,1.3957736682620205e+02,2.0986961527064160e+05,2.0986961912625103e+05,6.7589385841422439e-06
2.5984000000000002e+01,5.5754707277383584e-11,2.0545660091476865e-11,1.4208617342056135e+02,1.4211954395910891e+02,2.1428872286168867e+05,2.1428872627517875e+05,6.7403472675428593e-06
2.6040000000000003e+01,5.5754707141965000e-11,2.0485178694680166e-11,1.4466269651939731e+02,1.4469269785420107e+02,2.1875035933369037e+05,2.1875036235413013e+05,6.7216067493421750e-06
2.6096000000000000e+01,5.5754707020419462e-11,2.0431006399978526e-11,1.4726995597269760e+02,1.4729692991267697e+02,2.2325337282766783e+05,2.2325337549878945e+05,6.7027142455891488e-06
2.6152000000000001e+01,5.5754706911319606e-11,2.0382478679963512e-11,1.4990808736261050e+02,1.4993234090731227e+02,2.2779653945214444e+05,2.2779654181291591e+05,6.6836668904874726e-06
2.6208000000000002e+01,5.5754706813387696e-11,2.0339001830898847e-11,1.5257722140598159e+02,1.5259903030165472e+02,2.3237856089300415e+05,2.3237856297814081e+05,6.6644617330964858e-06
2.6263999999999999e+01,5.5754706725479884e-11,2.0300045276864166e-11,1.5527748366455018e+02,1.5529709559597762e+02,2.3699806194932706e+05,2.3699806378974908e+05,6.6450957338623767e-06
2.6320000000000000e+01,5.5754706646570673e-11,2.0265134742865634e-11,1.5800899423975781e+02,1.5802663169523828e+02,2.4165358799250677e+05,2.4165358961574762e+05,6.6255657609691844e-06
2.6375999999999998e+01,5.5754706575738991e-11,2.0233846207492535e-11,1.6077186744937555e+02,1.6078773029240222e+02,2.4634360234508116e+05,2.4634360377565282e+05,6.6058685864980383e-06
2.6431999999999999e+01,5.5754706512156370e-11,2.0205800539286161e-11,1.6356621148713526e+02,1.6358047926486847e+02,2.5106648357689579e+05,2.5106648483661489e+05,6.5860008823823699e-06
2.6488000000000000e+01,5.5754706455077625e-11,2.0180658720815371e-11,1.6639212806304596e+02,1.6640496207858206e+02,2.5582052271489814e+05,2.5582052382317738e+05,6.5659592161458936e-06
2.6543999999999997e+01,5.5754706403833573e-11,2.0158117575336450e-11,1.6924971202109478e+02,1.6926125719375742e+02,2.6060392036236529e+05,2.6060392133647364e+05,6.5457400464090911e-06
2.6599999999999998e+01,5.5754706357824275e-11,2.0137905931534488e-11,1.7213905093696516e+02,1.7214943747235600e+02,2.6541478372523823e+05,2.6541478458053333e+05,6.5253397181488350e-06
2.6655999999999999e+01,5.5754706316512949e-11,2.0119781184001442e-11,1.7506022469058487e+02,1.7506956957989630e+02,2.7025112354038277e+05,2.7025112429051858e+05,6.5047544576946223e-06
2.6712000000000000e+01,5.5754706279419295e-11,2.0103526221609764e-11,1.7801330501355832e+02,1.7802171337964751e+02,2.7511085090221430e+05,2.7511085155932617e+05,6.4839803674435189e-06
2.6768000000000001e+01,5.5754706246113087e-11,2.0088946699161544e-11,1.8099835500946330e+02,1.8100592131538954e+02,2.7999177398320759e+05,2.7999177455807803e+05,6.4630134202744994e-06
2.6823999999999998e+01,5.5754706216207936e-11,2.0075868622445759e-11,1.8401542864443320e+02,1.8402223777854792e+02,2.8489159464341193e+05,2.8489159514561796e+05,6.4418494536413060e-06
2.6879999999999999e+01,5.5754706189356025e-11,2.0064136209091648e-11,1.8706457020686369e+02,1.8707069845709589e+02,2.8980790492435516e+05,2.8980790536240011e+05,6.4204841633212195e-06
2.6936000000000000e+01,5.5754706165244065e-11,2.0053609983445238e-11,1.9014581373247916e+02,1.9015132966116150e+02,2.9473818342156953e+05,2.9473818380300078e+05,6.3989130967952385e-06
2.6991999999999997e+01,5.5754706143590293e-11,2.0044165067035925e-11,1.9325918239347837e+02,1.9326414762289491e+02,2.9967979153058666e+05,2.9967979186210048e+05,6.3771316462331011e-06
2.7047999999999998e+01,5.5754706124142352e-11,2.0035689636624158e-11,1.9640468784732769e+02,1.9640915776511906e+02,3.0462996955984103e+05,3.0462996984737593e+05,6.3551350410543938e-06
2.7103999999999999e+01,5.5754706106674495e-11,2.0028083534374198e-11,1.9958232954530433e+02,1.9958635393793014e+02,3.0958583270526241e+05,3.0958583295408299e+05,6.3329183400342667e-06
2.7160000000000000e+01,5.5754706090984992e-11,2.0021257023230225e-11,2.0279209399257928e+02,2.0279571761419538e+02,3.1454436687803722e+05,3.1454436709280830e+05,6.3104764229198246e-06
2.7216000000000001e+01,5.5754706076893111e-11,2.0015129681911362e-11,2.0603395396069575e+02,2.0603721704405081e+02,3.1950242437989044e+05,3.1950242456474353e+05,6.2878039815200419e-06
2.7271999999999998e+01,5.5754706064236323e-11,2.0009629429343673e-11,2.0930786764364427e+02,2.0931080635892206e+02,3.2445671941645665e+05,3.2445671957504906e+05,6.2648955102287615e-06
2.7327999999999999e+01,5.5754706052868135e-11,2.0004691662001587e-11,2.1261377776194436e+02,2.1261642462887173e+02,3.2940382344357274e+05,3.2940382357914041e+05,6.2417452959366596e-06
2.7384000000000000e+01,5.5754706042656435e-11,2.0000258484157093e-11,2.1595161059608799e+02,2.1595399485408279e+02,3.3434016033272963e+05,3.3434016044813389e+05,6.2183474072839915e-06
2.7439999999999998e+01,5.5754706033482446e-11,1.9996278013076584e-11,2.1932127495683000e+02,2.1932342289747470e+02,3.3926200135069474e+05,3.3926200144846429e+05,6.1946956832013675e-06
2.7495999999999999e+01,5.5754706025239753e-11,1.9992703747904120e-11,2.2272266107885739e+02,2.2272459634454475e+02,3.4416545994039276e+05,3.4416546002276096e+05,6.1707837206808659e-06
2.7552000000000000e+01,5.5754706017833423e-11,1.9989493998476125e-11,2.2615563943439756e+02,2.2615738328660157e+02,3.4904648629312590e+05,3.4904648636206391e+05,6.1466048617141965e-06
2.7608000000000001e+01,5.5754706011178852e-11,1.9986611374471703e-11,2.2962005945956844e+02,2.2962163101983978e+02,3.5390086170029140e+05,3.5390086175753770e+05,6.1221521793284293e-06
2.7664000000000001e+01,5.5754706005199984e-11,1.9984022334414966e-11,2.3311574818054538e+02,2.3311716464701360e+02,3.5872419267005404e+05,3.5872419271714083e+05,6.0974184626429799e-06
2.7719999999999999e+01,5.5754705999828112e-11,1.9981696789638906e-11,2.3664250873828217e+02,2.3664378558016276e+02,3.6351190479789220e+05,3.6351190483616875e+05,6.0723962008637469e-06
2.7776000000000000e+01,5.5754705995001325e-11,1.9979607753871722e-11,2.4020011879657531e+02,2.4020126992892338e+02,3.6825923637418757e+05,3.6825923640484101e+05,6.0470775661218815e-06
2.7832000000000001e+01,5.5754705990663610e-11,1.9977731027816857e-11,2.4378832882375579e+02,2.4378936676447989e+02,3.7296123171315680e+05,3.7296123173723067e+05,6.0214543950549594e-06
2.7887999999999998e+01,5.5754705986764778e-11,1.9976044910926241e-11,2.4740686023584044e+02,2.4740779624678348e+02,3.7761273418564961e+05,3.7761273420406034e+05,5.9955181690175706e-06
2.7943999999999999e+01,5.5754705983260117e-11,1.9974529937659618e-11,2.5105540338700030e+02,2.5105624760071026e+02,3.8220837893663137e+05,3.8220837895018287e+05,5.9692599927963205e-06
2.8000000000000000e+01,5.5754705980109884e-11,1.9973168639567248e-11,2.5473361539347675e+02,2.5473437692712423e+02,3.8674258526718587e+05,3.8674258527658251e+05,5.9426705716906638e-06
